id,price,moonRank,💎 score (%),storeURL,Background,Body,Face,Hat,Pipe
181,90,169,79.37,https://magiceden.io/item-details/Fx2jHg2cnbM3U24wWVvnhZ3i9NZBZ38XDaiuH68fqWDB,Smalt Blue,Book club,Ringo,Saint town,Calabash
284,93,613,24.39,https://magiceden.io/item-details/59HeMfGguhgFkYKuj56PhZVZiv2ufCcTeoVoVwbMu6vg,Cashmere,Harbour coat,Cob,Saint town,Author
301,110,455,0,https://magiceden.io/item-details/AxP2Pe6Pguje6uApNUMUyVMB3Qr9nApnd5k9Eq9egHcY,Carrot Orange,Salty dungarees,Ryan,Saint town,Duke
378,90,711,48.88,https://magiceden.io/item-details/wB6MVqiJAHkdAeXSG1qvVDTnH8acZEN71Bwa5LxZrBM,Chalky,Salty dungarees,Pico,Camp out,Poker
407,110,542,0,https://magiceden.io/item-details/5J6jHkMtEbCHuVW3uopzi1tz8sj663jSYfJUsaZVbuT9,Carrot Orange,Salty dungarees,Pico,Saint town,Author
544,92,565,37.09,https://magiceden.io/item-details/E3XDhnqFzsjsHLW1npDT31F1B9tdyJXadztrR1B5f1Uu,Smalt Blue,Book club,Ringo,Saint town,Reading
583,93,548,28.05,https://magiceden.io/item-details/9UUsDB7CUuh7LakwKieXfmcdHbY3uaCbW5rqaoZ7FCik,Carrot Orange,Book club,Rooi,Camp out,Poker
587,95,76,34.6,https://magiceden.io/item-details/C9rj6c7LtqXhouoYJWrXDHSuteJCrNgTsQnnV28JcKtQ,Cashmere,Book club,Pico,Rock pool,Calabash
638,145,484,0,https://magiceden.io/item-details/GGmqm9CRqz5q8eTwGfMR1WUkBLrsG3WeEjTGhNNaay1W,Olive,Mirage,Cob,Saint town,Poker
646,125,481,0,https://magiceden.io/item-details/C3TvxoGbmF4maPPRzm9vrpr9ZeTmK7smFiyvARjYZQzH,Cashmere,Salty dungarees,Ringo,Camp out,Reading
652,88.888,475,73.28,https://magiceden.io/item-details/2XunVe8kGz8cL97wEKYf4Cmcoox8cFnTk6X9ThPCZWCW,Olive,Garden gear,Ryan,Rock pool,Poker
688,110,240,0,https://magiceden.io/item-details/76zqPrth5k7AyHrty3tzaiGEe94CHBbbwNnEEbfQL1P5,Carrot Orange,Salty dungarees,Tank,Camp out,Calabash
