id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Eyes,Eyewear,Helmet,Mouth,Skin,Teeth
107,0.39,4020,63.2,https://magiceden.io/item-details/9wGXJSRMUFf3ehMR2mL4gQFtwSvjHVHSHVWNL4imZbnx,None,Mint 1,Green,3D Glasses,Leaf,Gum,Blue,None
172,0.41,1911,82.31,https://magiceden.io/item-details/52shD5BAbu7JSNUTSmoHzGSS8pBBot8K2vQZKLzFJnoa,Silver Earring,Pink 1,Blue,None,Pilot,Saliva,Sky,Two White
228,0.39,3198,70.73,https://magiceden.io/item-details/2vkLsjTULSLf2MFFASatCR1KjfiALsVh3Gb1SqAPGwJm,Gold Earring,Cerulean,Blue,3D Glasses,Sticker Boom,Pizza,Brown,None
550,0.42,2905,73.11,https://magiceden.io/item-details/26DcNCAHLkdcVjaU3J261Ndb6c65dJ88h2Uvh9FWPVHT,None,Sky 1,One Red,Pixel Glasses,Fireman,Banana,Purple,None
583,2.5,3546,46.44,https://magiceden.io/item-details/FjUCwKkxrabJhPdr5ThvUkPV3kte8XK4jquDAHSfNW3W,Gold Earring,Lavender,Blue,Pixel Glasses,Sticker Boom,Baby Bottle,Brown,None
668,1,2805,68.22,https://alpha.art/t/3MXzzQcB3SqiNcaBmRQDwTLG61UnVS86MmzCdgfB5DwD,Silver Earring,Violet,One Green,Pixel Glasses,Chef,Chocolate Milk,Coffee,None
687,2.5,3495,46.91,https://magiceden.io/item-details/9Xs2VcG2uKGAd8q6VJrVmGxZ2YmMaPZqq9wUTaQ31xuB,Gold Earring,Lavender 1,One Green,Pixel Glasses,Sticker Boom,Banana Milk,Blue,None
952,2.5,4294,39.6,https://magiceden.io/item-details/AphbGfUfHUAHFrq1q1Arw9NNWk4HcLbyjhf6rQWVZrQA,None,Rose 1,Yellow,3D Glasses,Glass,Gum,Olive,None
1199,2.95,2968,47.23,https://alpha.art/t/HsYkehgsqAK3DR8b7XR7dxmeytpAERye2umU9qvNr7wD,None,Purple 1,Yellow,3D Glasses,Sticker Boom,Soda,Coffee,None
1262,2.5,3800,44.12,https://magiceden.io/item-details/J6eXJN1mZWdNud1C2QQiDDbJirhEmyxWeJXBWJDV5nCw,Gold Earring,Sky,Star,Pixel Glasses,Glass,Chocolate Milk,Purple Red,None
1265,2.5,861,71.02,https://alpha.art/t/Caav81fTviPQh7bYMrivrkWDs87rsLJA5fULwNjHdGba,Gold Earring,Cerulean,Rainbow,Pixel Glasses,Glass,Lollipops,Albino,Two White
1317,0.4,4134,62.06,https://magiceden.io/item-details/2qhZ1TsHHP5BSM3CrFMDxatao3w3z72TKKGpjn1B8hCQ,None,Banana,Blue,Sun Glasses,Glass,Chocolate Milk,Olive,None
1318,2.5,3705,44.99,https://magiceden.io/item-details/42V29Jbdsi19g9NkUTWkGsC8mZcZZLNAN3XH7RH968Dw,None,Yellow,Red,None,Headphone,Banana Milk,Leopard,None
1336,2.5,1465,65.49,https://magiceden.io/item-details/DzsWuh2eGVMQzgSxkeYBmzYD6r3NiWw7DvBtsKpxsMf4,None,Cerulean 1,Blue,Solana,Leaf,Pacifier,Red,None
1432,2.5,2051,60.13,https://magiceden.io/item-details/EJ29nfwm8VoNTk5H4Fxnw3VEeWZDxRHN1yKxt5fFB4Po,Gold Earring,Sky 1,Blue,Sun Glasses,Fast Food,Banana,Albino,None
1494,4.99,112,52.97,https://alpha.art/t/FixkdLvaSH3W7Nssx2M2ULWwtZ7UbRFBa3NbT7zQCwR2,None,Violet 1,Zombie,3D Glasses,Captain,Zombie_Mouth,Zombie,None
1529,1.498,3004,61.42,https://alpha.art/t/J4DhD8dnHNfNN3hMrZehgwh1ZzUJDRYhYc48uwdc1E7a,Silver Earring,Rose,One Green,Clear Goggle,Sticker Boom,Chocolate Milk,Purple,None
