id,price,moonRank,💎 score (%),storeURL
9,4,1679,47.67,https://magiceden.io/item-details/9NksscyfxMCzdQeXfnU3ScuMq3NrLtNuVfqSHf926RqA
19,4,705,55.58,https://magiceden.io/item-details/HtDJUr3bXmmNt3t8NhznkbRhBXsnrmK1XXk2CPLks1rj
52,4.8,2582,32.33,https://magiceden.io/item-details/9dHB29WjN4jnrPGyanaTkw6EdV5wTf3twXnWuip1VKZW
58,4.4,3560,28.39,https://magiceden.io/item-details/DdGN1prVXFeJZPMiNFL6pRpfYws3Xxy6N311C7cJiDdF
61,4.02,3015,36.62,https://magiceden.io/item-details/BVYr2gySNTuEWWmv3gSduszyS1dtg17QavCbU9YttgAs
72,4.1,4317,25.25,https://magiceden.io/item-details/8TbMJz7n8FkCQFxJd8vF2z7aAFNYemGANQ5NFDmMi13w
315,4,4732,22.88,https://magiceden.io/item-details/7bxZUssyvTGtULeUqTpy3uQj6GmDwx2DH7cEcDP7rLVS
396,4.5,24,56.11,https://magiceden.io/item-details/HQ3uPbCgahcmZqa6p2bjSCQhCdoFvyXzJ8r6nh1rHANm
694,4,186,59.79,https://magiceden.io/item-details/CuiWM2UMCF7rf5R4sqsoviFpbzDHs1sAyoV3XiKsxj5K
821,0.16,4774,60.93,https://magiceden.io/item-details/97WcDWsvs7SiqiATeNM9ik6a1q69dQQKqjYhPPmSJK7S
873,0.16,4723,61.35,https://magiceden.io/item-details/DCYnStzzKv7ChpFsjTvhwgRU9AZe55aJLAy49zARDGPc
1038,4.5,418,52.91,https://magiceden.io/item-details/4G9ZMUZb3xQs3LBKD3oCWrADZMnfJANFiGVE3QafRwaa
1052,4,1941,45.54,https://magiceden.io/item-details/EoBRqp8Uhiw9hhW3HUrTZoaogecgsjZgdJ2XnQFYPwYd
1272,0.15,1925,84.17,https://magiceden.io/item-details/2Mf8aGcaT3X6W7RJRjtFE6sEVqUkUKZhgYALoBL6T9GA
1322,0.19,1195,89.7,https://magiceden.io/item-details/91r68HNYDB2A36MGUrLk8pRye5Mwkeh9LbUsjExshrHU
1363,0.15,1347,88.86,https://magiceden.io/item-details/HAtxGA9uqPAwFupeUgwXwN2D25xF1MygiGhCVLpXc51
1413,0.19,1587,86.51,https://magiceden.io/item-details/CvXCPihdcZyp8RbW2MyeM95zQW9iNMaJQEDovSqe1MQr
1632,0.15,4475,63.46,https://magiceden.io/item-details/4GoXtAMAwXJ9fGEG4f1vV8TLNT5F7yooEedFYyNUke41
1633,0.15,4690,61.72,https://magiceden.io/item-details/CPaqmumrVbjPEQmKi935KbdLjnnEaqT6wZJEGTD3kPzc
1635,0.17,1300,89.04,https://magiceden.io/item-details/5eNW7d5CW81HKMiZpfE3tFaghLUPR3gfipXmRpfGKLS5
1712,4.5,60,55.81,https://magiceden.io/item-details/3n5KcS5oio7VWbfdpkpbMYb2bzmdYtUk7NSwJ5zKpJaa
1731,0.15,4926,59.8,https://magiceden.io/item-details/3SGFK8n3muecXqN4yUCkew5FUToR4xnp6ngxThhkgyeV
1747,0.19,3147,73.85,https://magiceden.io/item-details/Cg326BKBQap4z4VqZqoAAZVBYyccXLumtB2ZkGnffzvW
1993,0.15,1536,87.33,https://magiceden.io/item-details/EmZTRASLQfsn7cpTRaLxLAHvWmLboJSFh9jT6mqgqRLK
2055,0.2,838,92.5,https://magiceden.io/item-details/8a2pov2qkLEZ3NxQ1MAcudHx5zrA1D4bDiTVPgQacbPx
2198,0.19,3687,69.46,https://magiceden.io/item-details/EPzP4BmYJqdGUk6MDi5BdmswwE6LQzs7KVWPgCWdvnLM
2529,4.2069,4770,20.5,https://magiceden.io/item-details/7yWVwTdezcGmBJEPSJAMgXZ27DzBqXmVQSuDH66AUHZv
2879,4,2526,40.79,https://magiceden.io/item-details/GPfkXFE4QqfHUYPgBtotxMQEgXESXiR3HQ9K1Lhw6HC6
2924,0.15,3767,69.21,https://magiceden.io/item-details/9gZQt4Ur1gCDTdrB9J4vbNEhadiPuvBo38UnPQ1cDVT1
3194,0.13,3906,68.28,https://magiceden.io/item-details/8T54jJxUCpmiZckXLHgYJpAQuCVjvbqzRD8TkNBuTixh
3748,0.16,3391,72.16,https://magiceden.io/item-details/3aT4gB8Enjma2guSNKxfwbjf6gxmHbPN4XRW7QJavLn8
3757,0.16,3510,71.2,https://magiceden.io/item-details/2YHYuz4ZHZUFFYaSbDH9J8XdoKtzT7gbxRkUGFD4N85M
3822,4.5,203,54.65,https://magiceden.io/item-details/2g4skNvS4PpiQ7JQDHKTbj3V4SDBJd3TBmG6fuZYGfMw
4154,4,979,53.35,https://magiceden.io/item-details/Ded1uuwuzaeYaJmK4Nwm1rHLc9VcguP7UqJFoWK99Q9o
4209,0.17,2675,77.88,https://magiceden.io/item-details/H2U9VicTgPnuQgPaYX3WmoSNdxU4TULoyF9sLjML4BQr
4678,0.15,3375,72.39,https://magiceden.io/item-details/6npLWbfMTjRTqfUdXRYAszhiTzomQozYAcmEaDvNMrjD
4696,4.5,357,53.4,https://magiceden.io/item-details/BuzEDHwVy4S4hfyiAFp1iJibBze341DBbg7hik2rvzCi
4709,4,184,59.81,https://magiceden.io/item-details/3nZ1XAh8dRaGC9y7KecWmogoL3pkpnJThv4sjhevrE14
4751,4.5,1291,45.82,https://magiceden.io/item-details/963cuwaApXxrsfRCmRabTFQuNmPtoBeVmA9P6Dcq9Ve1
4835,4,4396,25.6,https://magiceden.io/item-details/4SkqwAQQG2WtTkvwKmhViPLr7kbNzXN1vqw6srwFr7nX
