id,price,moonRank,💎 score (%),storeURL,Background,Breed,Clothes,Eyes,Head,Mouth,Neck,Soul-O-Meter
9,2.2,9445,53.01,https://magiceden.io/item-details/2aDDav9btinmz8KvRcy163hmRFDzDXjr1dp5rM81RSDD,Green,Collie,White Tank,Stoned Blue Eyes,Brown Straw Hat,Beer Can Boi,None,Common
16,4,5981,48.87,https://magiceden.io/item-details/3DU2Wczt3zBoBvZwkjAFpFSx2GWv6EXJ9VKG17BKr4MV,Purple,Shiba,Camouflage Vest,Monocle,Brown Straw Hat,Tongue Out Side,None,Cool
36,7.5,5140,17.24,https://magiceden.io/item-details/8gg35AcUomQvsxbVieBD3TU8EFojfnVZ14TcsQKruTzP,Blue,Lab,Tiger Pimp Coat,Heart Sunglasses,Black Cap,Open Mouth,None,Groovy
51,6,3008,40.77,https://solanart.io/nft/Ehz94o3gto5yPDP1AaQw47KAK3YVZn7xLRkeYS9v8C2W,Pink,Retriever,Rebels Jersey,Stoned Orange Eyes,Green Mullet,Tongue Out,Ruby Bolo Tie,Cool
55,5,633,60.27,https://magiceden.io/item-details/FAK7kcUputxnqJJKAixthA7LCo15so2F3q95s22MbSC,90s Pop,Shiba,White Soul Dogs Tee,Eye Patch,Pink Mohawk,Burger Boi,White Bowtie,Groovy
62,3.7,2725,64.9,https://magiceden.io/item-details/5nPT6BbyX2YBM9aprJRkbDfxGYFDTXyQeBQ7sdJrhZTy,Pink,Beagle,White Soul Dogs Sweater,Cypher Punk,Red Cap,Tennis Ball,Junk Yard Chain,Cool
67,670,4038,0,https://solanart.io/nft/4n7EXcAMfgKDED6Fo63rv8xMFtgKTFt3bQe8WxM5LFaX,Scooby Groovy Violet,Retriever,White Soul Dogs Sweater,Lab Glasses,Yellow Cap,Open Mouth,Chain Link,Cool
81,10,3053,0.59,https://solanart.io/nft/8xjgdXdykc9tMaaRHTRHJy2zUPXPKwefPsRxkkgYnATW,Purple,Dalmatian,Plain White Tee,Monocle,Blue Bow,Kiss,Chain Link,Cool
84,8,4357,15.37,https://magiceden.io/item-details/J5GWtXwWQqna3z8iUXroGLbaYBxhgmuWHwxeGQkFH166,Blue,Collie,None,Cute,Yellow Mullet,Chewing on Straw,White And Black Bandana,Common
84,8,4357,15.37,https://solanart.io/nft/J5GWtXwWQqna3z8iUXroGLbaYBxhgmuWHwxeGQkFH166,Blue,Collie,None,Cute,Yellow Mullet,Chewing on Straw,White And Black Bandana,Common
94,50,9930,0,https://magiceden.io/item-details/DR2GWuUg85E4KMoFsHCpywpEbnjBDVp2W5pzP7LCo6tX,Blue,Shiba,Blue Hoodie,Drunk,Black Bandana,Open Mouth,None,Common
105,4,5705,49.98,https://magiceden.io/item-details/HivxTvSVVJeDNNp34hdL1EVNN98DF2chHoXyeEtm564T,Blue,Beagle,Silk Shirt,Pilot Goggles,Yellow Cap,Tongue Out Side,None,Cool
119,1.44,6740,71.43,https://magiceden.io/item-details/9AM9HGhHFLpdLYJutfeLXXrtyXAzc42tC9rYFrQGcNZz,Yellow,Collie,White Hoodie,Angry,Doctor Light,White Bone,None,Cool
122,19.8,3921,0,https://magiceden.io/item-details/3986gGig8XDjrA2JcEnkcpGG6R4Df22QYJK64JRpptNE,Yellow,Collie,Black Grateful Dogs,Happy,Black Cap,Joint,Black Bowtie,Common
