id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothes,Eyes,Eyewear,Face Accessory,Headwear,Mouth
17,0.8,972,84.92,https://magiceden.io/item-details/fnpiM3EvNTJxT3mPFrwo9sxb2TMmPCe7jMwEQGu6aXr,Blue,Black,Purple Samurai,Red Raised,Cyclops Red,Purple MetaMask,Brown Bun,Angry
51,0.46,2187,73.73,https://magiceden.io/item-details/4MJxAeU2xerupTEZaNU1YMGwjZTan9PLRGJD7ftvmJbG,Green,Gold,Punky Ninja Pink,Black Normal,Scanners Pink,None,Cyan Headband,Normal
53,2.2,2819,48.74,https://magiceden.io/item-details/Byw16cJ2n11uox6NeGoCiTak32pM7QNyjKidQz6mYi2u,Gradient Black,Gold,Gold Spacesuit,Black Raised,None,None,Black Bun,Normal
64,501.410004,1397,0,https://solanart.io/search/?token=4Ps2W2JPMaSFLFwMsuzJGsdhi8xbqTAoaAx9ZMKLHgzt,Blue Wave,Brown,Grey PAC Cop,Red Raised,Robotic Blue,None,None,Sheesh
67,2.5,1890,56.9,https://solanart.io/search/?token=74JYHwQtwCC7mB9nj1WQEKNeajjK6ouKse2dkMRQhWXM,Orange,Gold,Grey PAC Cop,Black Normal,Nightvision Pink,None,Brown Wavy Bun,Normal
82,0.465,2060,75.21,https://magiceden.io/item-details/GThRaEXRfYii6YK3Peom3eeuL8RE6ZYD4gPXXtuEadfp,Green,Gold,Cyan Samurai,Black Raised,None,Cyan MetaMask,Green Horns,Punky
89,12,1111,0,https://solanart.io/search/?token=3kntf6copRqpoF1yJuBChdPvdVnd1XHnq3v2zhDydxDv,Purple,Gold,Cyan AKN,Blue Angry,None,Orange Hazmat,Green Horns,Punky
91,0.7,1243,82.67,https://magiceden.io/item-details/9TnL5urqVvNS989wKdVhtbzJ37ELAW9duBRoYfdk9REj,Grey Shades,Gold,Punky Ninja Blue,Red Raised,Pink PointyV,None,None,Punky Rainbow
103,3,2125,49.07,https://alpha.art/t/HZqdZb3FFXGAFoyWcMYGx63SwJASNz9x67jteqRqnXD3,Gradient Pink,Black,Punky Ninja Blue,Black Raised,Cyan PointyV,None,None,Sheesh
120,0.8,1742,75.68,https://magiceden.io/item-details/BVU81o3NM49AvzurRcFWmuhYHMqbMo1h3QrYrkeWh9Kv,Blue,Gold,Punky Ninja Pink,Pink Angry,Laser Luminous Red,None,Brown Wavy Bun,Happy
121,20,1036,0,https://magiceden.io/item-details/HrB2xHhYF4ieTEt6J5n7x77AtNBCJEQjDkopD86TZH6y,Gradient Black,Fire,Pink Guardians,Normal Red,None,None,Black Horns,Rainbow Sheesh
