id,price,moonRank,💎 score (%),storeURL,Background,Droppings,Ears,Eyes,Head,Hide,Mouth,Nose
31,0.11,355,87.66,https://alpha.art/t/7rgFQNk28zB6niKkdeWSJJay8R4u8u5PhRJTq5sfDuBb,Snow,None,Unpierced,3D Glasses,Hard Hat,Golden,Hay,Just A Few Boogers
56,0.07,1148,62.5,https://alpha.art/t/EPLTATeCzPdXhhsR5s5b1BKFLifSQJKD6ici6LwrzLfE,Plains,None,Unpierced,Milk-Seekers,Elemoontary,Guernsey,Hay,Just A Few Boogers
66,0.09,486,83.64,https://alpha.art/t/8iL1wVjqT2zcgQvSUDQFWtGwkGWfFG4avLsPVTbCkmh4,Desert,None,Purple Tag,Cow in the Headlights,Elemoontary,Jersey,Grass,Just A Few Boogers
169,1,163,84.95,https://alpha.art/t/GQRBwijxLck84qmcEABMfiwXcDHMo2F3CoVCSDgLuZGf,Snow,None,Blue Tag,Milk-Seekers,Chef,Milking Shorthorn,Regular,Bullish
408,0.06,706,76.84,https://alpha.art/t/5z36yS2JKp2D23wjUyfEBoHbei1tgLZQvqNzeCqKi9Lz,Plains,None,Purple Tag,Unibrow,Hard Hat,Ayrshire,Carrott,Just A Few Boogers
422,0.2,49,96.62,https://alpha.art/t/E96P9kZibmCkHkEiZUTiJm195efCNoJKeW4gRdWH3jU2,Desert,None,Orange Tag,Pirate,Sweatband,Alien,Carrott,Golden Ring
431,0.11,1123,62.9,https://alpha.art/t/FqqbsUr2FFSxqRAJeq4ezXKmyXKyrJzdZDLDGKhPu6Dn,Plains,None,Unpierced,VR,Long Horns,Jersey,Regular,Golden Ring
439,0.3,35,96.07,https://alpha.art/t/A7oQU79eqUJpsG1C7r8ARjGabZ49xGcYo7s9XrQSP1e8,Desert,None,Green Tag,3D Glasses,Beanie,Jersey Blue,Cigarette,Bullish
446,0.5,12,94.81,https://alpha.art/t/5ACrJHK4j1YxTw2vvw6n4C1eGSBpyuX4tS1Cy78a9P1A,Plains,Solanegg,Red Tag,Sad Cow,Long Horns,Brown Swiss,Carrott,Just A Few Boogers
500,0.02,460,85.17,https://alpha.art/t/GNWy1xAG9CecgrDRWVitRo6TNSTPBriS4zpTFUMVRFPf,Plains,None,Orange Tag,Sol Blockers,Banana,Brown Swiss,Hay,Just A Few Boogers
504,0.15,223,91.51,https://alpha.art/t/4tryFNXykbeU9AJfFSb6wTP3zDTRBHdBFLVjnuezGqW8,Plains,None,Blue Tag,Mad Cow,Bee Keeper,Bloo,Wooden Pipe,Just A Few Boogers
567,0.08,561,81.32,https://alpha.art/t/FNhToX5aAAQVkYczCtt9nuTzsobmt4G8NXcZWqCqVNYB,Plains,None,Unpierced,Stoney Baloney,Moorroccan,Holstein Friesian,Tongue,Golden Ring
570,0.149,905,69.54,https://alpha.art/t/E7kTUod3WHCF37jFZqLEKJLmPztiaZiovRL8zSnWd1qw,Plains,None,Orange Tag,Sol Blockers,Sweatband,Holstein Friesian,Hay,Just A Few Boogers
577,0.07,980,67.91,https://alpha.art/t/C8KrTjzHVZNQxAo2ZojdzUexxJpsM3EyUQULvfxTFDCd,Plains,None,Unpierced,Unibrow,Chef,Guernsey,Wooden Pipe,Just A Few Boogers
621,0.16,1241,58.6,https://alpha.art/t/AUPzA8GPEZYDsRxAj7vuZyahAGbyahfqyUzFmcA69F4M,Plains,None,Orange Tag,Regular,Red Mohawk,Bloo,Regular,Just A Few Boogers
709,0.46,758,71.17,https://alpha.art/t/GcuAXAziW2i8w5Hyvtm2kJjvEmPJ95We1RiVEhyp4PS8,Plains,None,Green Tag,Mad Cow,Messy Hair,Ayrshire,Cigarette,Just A Few Boogers
725,3.5,952,34.52,https://alpha.art/t/C5fFDrKyvaKXiE8aSrfBAtvKmNNZgWJ9e2MTrxyTwip5,Plains,None,Blue Tag,Greener Pastures,Yeehaw,Jersey Blue,Hay,Just A Few Boogers
748,0.09,846,72.03,https://alpha.art/t/DG4y3cLsDzJ61mKgQepWy1LuUGiMiEQmuJjuZzxN3Gb6,Plains,Chocolate,Purple Tag,Mad Cow,Top Hat,Ayrshire,Regular,Just A Few Boogers
782,0.15,785,73.4,https://alpha.art/t/7P9m2ApuurcvdiTmkMyJZe6asrox7L8uWhk187u4KXMP,Desert,None,Orange Tag,VR,Chef,Milking Shorthorn,Regular,Golden Ring
1017,0.15,690,76.46,https://alpha.art/t/3JCE15AgSY2YohU2Rz8S1DGuHFSLYYrTQc4Z7SFboVgF,Plains,None,Blue Tag,Cowborg,Doctor,Ayrshire,Grass,Just A Few Boogers
1042,0.11,277,90.17,https://alpha.art/t/2vLEo8914ya3f5ULAwdHDHjawXg9hL9VYFQNkad4nJBc,Plains,None,Yellow Tag,Cowborg,Berry Cap,Holstein Friesian,Carrott,Golden Ring
