id,price,moonRank,💎 score (%),storeURL,Background,Clothing,Eyewear,Fur / Skin,Head,Mouth,Teeth
8,125,708,0,https://solanart.io/nft/6X9TJfeXNoo4jNA7mCZaFN5yWs7KjEsZjPWD8vAtixp9,Green,Black T-Shirt,Shutter Shades,Brown / Peach,Conical Hat,Grilled Cheese,Wooden Tooth
9,789,2602,0,https://solanart.io/nft/FYUX5h5qHywNiFTh3wyvJjiRapeXuWP7m7m6XqUJRB4w,Purple,Denim Vest,Ape Vipers,Purple / Peach,Sailor's Hat,Grilled Cheese,No Traits
11,1001,593,0,https://solanart.io/nft/6U5UVSe3kQDVMgMt4dPkaaCLBNwXgCRfSgVeHtsikuyG,Teal,Police Uniform,No Traits,Blue / Peach,Football Helmet,Corndog,Wooden Tooth
17,125,6438,0,https://magiceden.io/item-details/HiFJSECrF2fYutqLG5NMumrKsAMdeEUwYs8mp59YZbdG,Red,Leather Jacket,No Traits,Red / Blue,Baseball Cap,Pipe,No Traits
41,80,4812,30.73,https://solanart.io/nft/Hvk8bbgQaDKZkNwLeKoLyVg779pNWLk1cg1NEJVfsB8b,Yellow,No Traits,Shutter Shades,Purple / Peach,Mobster Hat,Eggplant,No Traits
45,100,441,0,https://solanart.io/nft/4tshZAXgyydcXBjm96MLz6pxsge79QwGm9TL8LA426BP,Green,Police Uniform,3d Glasses,Green / Green,Graduation Cap,No Traits,Wooden Tooth
59,500,9936,0,https://solanart.io/nft/AfwgfZuzGoub9jzizKp6fVGYqzGybMV39CpXeWuTb6QC,Yellow,No Traits,No Traits,Brown / Yellow,No Traits,Banana,No Traits
82,109,7393,0,https://solanart.io/nft/JjSNdWW7uofdEdGrPcefuX3NdeYVS92j8Nq4yYk5PZM,Yellow,No Traits,Wayfarer Glasses,Albino / Peach,Sun Hat,No Traits,No Traits
83,110,4635,0,https://magiceden.io/item-details/3Kciut9QWWGS3SJkYSRJLXtCAxS9p9r2YULCd2ooMxur,Blue,Academy Uniform,No Traits,Albino / Peach,Conical Hat,Hotdog,No Traits
86,88,7964,0,https://magiceden.io/item-details/EWJznvGBG7FprEbQYhkfjLXPwgJ5ueh6534SH5wQebbz,Blue,No Traits,No Traits,Albino / Peach,Captain's Hat,Pizza,No Traits
90,117,4306,0,https://solanart.io/nft/5JZ431xLuZu5r21JfvS4exLt2oMySoskxxS9fY2hVx2Y,Red,Cheerleader,No Traits,Red / Peach,Mobster Hat,Smooth Brain,No Traits
93,81,5363,18.52,https://magiceden.io/item-details/5FHRaC6KA394PLqRZwE1B9BNnPr91PKXEK8LAPJiZPzd,Purple,Hoodie,No Traits,Purple / Peach,Pilot's Hat,Burger,No Traits
102,99,8010,0,https://solanart.io/nft/F5SjhvcpVyxNxb1pVS25pCjhnijxahrDi7uCFnTmV4qq,Yellow,No Traits,No Traits,Brown / Peach,Policeman's Cap,Hotdog,No Traits
118,105,5407,0,https://solanart.io/nft/76KWdfPVn7WEWMm4C5tN9ZFE1BrkBB35omXaEKp8PjUH,Purple,Hoodie,Shutter Shades,Brown / Peach,Snapback Cap,No Traits,No Traits
122,5100,8647,0,https://solanart.io/nft/7PkCvCw5pYknvwunavBWMs45tywXfvH9fPbZnTwAPVdd,Purple,No Traits,No Traits,Black / Gray,Beanie,Drool,No Traits
140,1077.586914,5682,0,https://solanart.io/nft/BCVWggj8mYw6MQBbMnsw1cNCzkss8RqxrPZz7G1pP3hK,Yellow,Wetsuit,No Traits,Brown / Yellow,Policeman's Cap,Pizza,No Traits
164,590,3858,0,https://solanart.io/nft/41ADogtc7FpWmSQTRdD79GFEFHZaTrSSUdSrd3ngMkvu,Yellow,Silk Robe,No Traits,Brown / Yellow,Football Helmet,Sandwich,No Traits
175,163,237,0,https://solanart.io/nft/G4sanQeZGi8rC1RfATKzGCBVRXuFDcfJUirRdDMxiRgd,Red,Jungle Explorer,No Traits,Albino / Blue,Pilot's Hat,Dirty Fiat,Gold Tooth
190,88,2294,0,https://magiceden.io/item-details/8LYDifpTA9dCFBvc6AzvoHEejR6aCjMcHbw6ERvbGBSQ,Blue,Hoodie,No Traits,Albino / Blue,Musketeer's Hat,Corndog,Wooden Tooth
191,85,4666,0,https://solanart.io/nft/9kGHgUDZbGJwUdQsKXi4XuEjG6aQMcysScK478C362zr,Yellow,Hawaiin Shirt,No Traits,Brown / Yellow,Musketeer's Hat,Ape-le Juice,No Traits
193,85,6502,0,https://solanart.io/nft/6WcC3VNeDaCE636genbikDc8JhXpu1nw4zVBdb73mYLP,Red,Pilot's Jacket,No Traits,Red / Peach,Baseball Cap,Sandwich,No Traits
212,1500,2772,0,https://solanart.io/nft/8LK2BjPmYsUCNjzHjCPXVg687YYpPTzjGCUvWo6dHgsP,Purple,Bowling Shirt,No Traits,Blue / Peach,Pharaoh's Neme,Grilled Cheese,No Traits
220,1669.689941,79,0,https://solanart.io/nft/6MpbSboiaHTF1yVjG56UBKzdRxyCDUAGpb5kUvpA5HfC,Red,Maid's Uniform,No Traits,Brown / Yellow,Graduation Cap,Rainbow Vomit,Gold Tooth
226,799,198,0,https://solanart.io/nft/4puud2ShCiA9BjpS5aH9WXqqqbvPi8wJZR8p3Yuct2vc,Black,Hoodie,No Traits,Black / Gray,Policeman's Cap,Crayons,Wooden Tooth
229,700,1406,0,https://solanart.io/nft/Dk4PY1C1QX2xZRGWpbtKGB9ERHcKcFX2cVXce983ZJBx,Black,Police Uniform,No Traits,Black / Gray,Policeman's Cap,Ape Force 1's,No Traits
238,150,2362,0,https://solanart.io/nft/93F3J4qVwFavZwGZ8juB9fvxPC1M5MhDJeS11jn6zmvu,Blue,Overalls,Wayfarer Glasses,Blue / Peach,Captain's Hat,Burger,No Traits
244,100,1691,0,https://magiceden.io/item-details/78csHfXbZrDeu4tf9rY8U5Tfh9zgUJyHoucDVYhjMdsN,Black,Suit,Shutter Shades,Green / Peach,Straw Hat,Sandwich,No Traits
249,299,1598,0,https://solanart.io/nft/D6c3veFS6zr6TznE3Cht7UrVaQWt6eBNkCAndjQ6Utro,Red,NB-Ape Red,No Traits,Red / Peach,Sailor's Hat,No Traits,Gold Tooth
250,150,3151,0,https://alpha.art/t/9Fa2EKphZRJzYuTB47Wxcev3aKHdK91bPUpmw5c16FkN,Blue,Maid's Uniform,No Traits,Blue / Blue,Headband,Ape Force 1's,No Traits
269,92,2452,0,https://solanart.io/nft/CE61aRirr6QEH1GjRzxhLzKJwaeiERCrGbHcepwZxn84,Blue,Police Uniform,Round Glasses,Blue / Peach,Baseball Cap,Corndog,No Traits
285,97,1492,0,https://solanart.io/nft/AQYHp4y3XVG1vXisEzLE672LExyQBF5WCB6fwyU89FFM,Yellow,Maid's Uniform,Round Glasses,Brown / Yellow,Top Hat,Pizza,No Traits
311,145,5539,0,https://solanart.io/nft/9D5tA4aqYCKjmD3qxQsoct6wvow9aB1suKHm6fCMRd4,Purple,Bowling Shirt,No Traits,Purple / Peach,Headband,Drool,No Traits
335,399,217,0,https://solanart.io/nft/5H6rqJHMfvCYn9XyTwR1BAWsPu35VqaJqYoQkSUcd7Ah,Black,Cheerleader,Round Glasses,Black / Gray,Fireman's Helmet,Eggplant,Wooden Tooth
361,99,3744,0,https://solanart.io/nft/HnS7zeqCN52WhZY9riq3C6xJ6kkh16d8vTYk4S5Qngq8,Green,Ski Jacket,No Traits,Red / Blue,No Traits,Pizza,Wooden Tooth
364,150,1298,0,https://solanart.io/nft/8zmVQcZToc94fxGB6F31cPYLv5ZGc4zEVGyvhxdHQKJS,Yellow,Police Uniform,Ape Vipers,Brown / Peach,Fireman's Helmet,Pizza,No Traits
393,168,190,0,https://solanart.io/nft/EBTPf1zCtkWYbx9epPFb256pokTR1wguvsCfiVnRj4Lo,Black,Japanese Uniform,Shutter Shades,Black / Gray,Explorer's Hat,Pizza,Wooden Tooth
435,300,8632,0,https://solanart.io/nft/FSbm7fYDVmLw2R66jbUDNv2R5ZAPnLEhSzzagLj8L9NW,Green,No Traits,No Traits,Green / Green,Conical Hat,Burger,No Traits
446,3575,132,0,https://solanart.io/nft/H39wCAHrm1yaMTw3fUiky5MLcNYpYMRDHR3tNSRBbamU,Red,Degen Service Shirt,No Traits,Red / Blue,Degen Service Hat,Golden Tendie,No Traits
464,99,1473,0,https://alpha.art/t/61guce8DaSddQk7nuNBXXMFQB3qysefKeSbqNUnQiXaG,Purple,Overalls,Round Glasses,Purple / Peach,The Croc Hunter,Grilled Cheese,No Traits
486,175,429,0,https://solanart.io/nft/5jjDf6TEHxEyymPjUfFzzTt4VmBahVa5pityMEFd4tRL,Green,Overalls,Heart Glasses,Leopard,Mobster Hat,Pizza,No Traits
498,250,9885,0,https://solanart.io/nft/F9v4Q3QnDV44gC2kcFHSWUQTRZrso9jziQLiRVkWFXmc,Purple,No Traits,No Traits,Red / Blue,No Traits,Grilled Cheese,No Traits
502,244,2110,0,https://solanart.io/nft/4cNijUBApnnk41rP6Z3YM522SL6XNwzxvPTCptmtigQv,Black,Maid's Uniform,Wayfarer Glasses,Black / Peach,Beer Hat,No Traits,No Traits
505,387,4995,0,https://solanart.io/nft/A234oGog8LW1sHSxgqzNEeYhbiwtKhJYv8EZS5dygBLS,Green,Jungle Explorer,No Traits,Green / Green,Football Helmet,Pizza,No Traits
538,1199,1220,0,https://solanart.io/nft/E91tAzBnzAcfc1LtfQzrUjszvegkBpdFuecgay25uHop,Red,Japanese Uniform,No Traits,Green / Green,Crown,Pipe,No Traits
546,125,5484,0,https://solanart.io/nft/63fSrAh9t2ejQAp8WipmYuCm17j9sYfbD2Nrdijg4wpa,Blue,Turtleneck,No Traits,Albino / Blue,Sun Hat,Dirty Fiat,No Traits
555,555,1252,0,https://solanart.io/nft/CFcBPheFVVi6TVc9MkbLyPfJnWoTFhxcTzjt5uWoAZ9M,Yellow,Pilot's Jacket,Wayfarer Glasses,Blue / Peach,Straw Hat,Sushi,No Traits
571,96,7474,0,https://solanart.io/nft/9ZJqZDStwmaBfTaCMV44QwiBVUgbEtLqPYEismHkdjd8,Black,No Traits,No Traits,Black / Gray,Captain's Hat,Corndog,No Traits
574,140,3845,0,https://solanart.io/nft/BCfCz8x8h4tTQQJa6kypr74BjeZHR26tY3YkADQgx5SE,Blue,Suit,No Traits,Blue / Peach,Sergeant's Hat,Hotdog,No Traits
585,275,8814,0,https://solanart.io/nft/6hMRwLn7xmQtwF56C6goQHnLjARXHJcqG8F9Pvz6q9Nu,Green,No Traits,No Traits,Brown / Peach,Beanie,Hotdog,No Traits
588,200,6922,0,https://solanart.io/nft/9akCU4ZiWgqsMcxMtRq1XbHy6WeYbNF4EAepjTTduceQ,Purple,Dress,No Traits,Purple / Purple,Straw Hat,Banana,No Traits
602,135,1829,0,https://magiceden.io/item-details/EnmcdU8hZifERuKM8QjntZT1uhQvHkaMRM56HZJGT5tP,Black,No Traits,Aviator Glasses,Black / Gray,Fishing Hat,No Traits,Gold Tooth
621,169,899,0,https://solanart.io/nft/55JZtxTth92kns1HUpYD2CqQ8uLsUs6HTRz6QCBdpXJ7,Red,No Traits,Ape Vipers,Red / Peach,Sultan's Turban,No Traits,Gold Tooth
641,1000,3533,0,https://solanart.io/nft/2AjEp5JPSQYQXy694VFVxhE7cMGjefCJvh7TWJ2bKMA1,Green,No Traits,No Traits,Brown / Peach,Pope's Mitre,Smooth Brain,No Traits
670,119,5832,0,https://magiceden.io/item-details/AzDaEAp4qCDm8jHWEqpYHeH4nxNUqBpb5myg9Fs8xiEm,Green,Academy Uniform,3d Glasses,Red / Peach,No Traits,No Traits,No Traits
673,500,1663,0,https://solanart.io/nft/DgdrFFqqZsHnq257ehCR82PNzS8QWEwoqguK93yNXgr1,Red,No Traits,Shutter Shades,Red / Peach,Sailor's Hat,Burger,Wooden Tooth
675,98,1915,0,https://solanart.io/nft/EeEg8Jz9HjcAcvhY2gd76yotJXPn1eAztP9XHaKSYZM9,Red,Bowling Shirt,Wayfarer Glasses,Red / Peach,Fireman's Helmet,Bubblegum,No Traits
702,86,8171,0,https://solanart.io/nft/EMVwyHQFhpKczEgs1ZtEikUDPybtXoiYfo5b7MJ88w1B,Yellow,Turtleneck Suit,No Traits,Blue / Peach,No Traits,Pizza,No Traits
713,97,3512,0,https://magiceden.io/item-details/3c5WifYPGam7UowLJvgnumQdD1fTw3Kbyp19y8KwGEfd,Yellow,No Traits,Shutter Shades,Brown / Peach,Umbrella Hat,Drool,No Traits
714,550,1195,0,https://solanart.io/nft/8Hh3W3QEpGAcvo3wVazN9S8UmM54sxm2TkmyVVFhvw7z,Red,NB-Ape Red,Aviator Glasses,Red / Blue,Viking's Helmet,Soda,No Traits
716,188,9942,0,https://solanart.io/nft/A4xo3J9qApR6GyZy4bHKTnZfqgysTzxfG72TSXgaNY3b,Blue,Striped T-Shirt,No Traits,Blue / Peach,No Traits,No Traits,No Traits
721,100,4128,0,https://magiceden.io/item-details/Hrg2Whp18Z4MSasnC5Z8VdirDMuR9XCS38o9KPXDQanH,Red,Cheerleader,No Traits,Red / Blue,Mobster Hat,PV-Ape Glue,No Traits
736,112,1228,0,https://magiceden.io/item-details/CJfxALxNQGf8PrDUuBHAERgX9R6sN6YwmaVhCuX7iTy5,Black,Turtleneck Suit,Shutter Shades,Black / Gray,Floral Crown,Soda,No Traits
753,138,369,0,https://solanart.io/nft/ADEAupamSYnJ1gudYP6TaoHxXy2o9uc1fH68Xv6RXx93,Black,Hawaiin Shirt,No Traits,Brown / Peach,Judge's Wig,Corndog,Gold Tooth
760,88,4049,0,https://solanart.io/nft/G3bMyM7U2hKDSkDwQW8kW46RfZiNN4gDowmrGvbtDRPM,Blue,No Traits,3d Glasses,Blue / Peach,Racoon Skin Hat,Corndog,No Traits
762,180,3255,0,https://solanart.io/nft/A7HPcbxqMsQM8Kky6oPQF5MiADaJvqnDkqv1QihVgH47,Yellow,Ski Jacket,Wayfarer Glasses,Albino / Blue,No Traits,Hotdog,No Traits
780,600,508,0,https://solanart.io/nft/3GTLMGFgaM3Jn8uvywGfojsEBayrTC8199bi1vDNxXSd,Purple,Police Uniform,3d Glasses,Purple / Purple,Sun Hat,No Traits,Wooden Tooth
787,227,2946,0,https://solanart.io/nft/E9ohQz7Riv8LA9QdybjPgh3D7kz3Lmp1d1QkkVay286J,Blue,Maid's Uniform,No Traits,Ice,Graduation Cap,Pipe,No Traits
790,88,1516,0,https://solanart.io/nft/BMKa27dDYehb7WSuxtLxYM4XH2CeXpgFtv4X9P4JgprN,Black,Maid's Uniform,Ape Vipers,Black / Peach,Racoon Skin Hat,Drool,No Traits
798,1000,8050,0,https://solanart.io/nft/2ceQyGcTJrYrKVhVPCUmVUeMWejr1A14NF9DS8dB3duG,Black,Turtleneck,No Traits,Brown / Yellow,Graduation Cap,No Traits,No Traits
809,280,5524,0,https://solanart.io/nft/9nQknJDTqvAhEwfS2Wrnw45Jv8otBdrpkS7fSDCGJvEm,Green,Tie-Dye T-Shirt,Shutter Shades,Green / Green,Snapback Cap,No Traits,No Traits
823,89,5478,0,https://solanart.io/nft/By6hA8m98FocYqMm8KdUvykomxxjMR4aabe4xUBdg47E,Blue,Maid's Uniform,Shutter Shades,Blue / Blue,Snapback Cap,No Traits,No Traits
829,105,3952,0,https://solanart.io/nft/B6EZcBoUi5oFZSzy8HfruvqcuHxjq7n9mAjda4nNWa1K,Black,Striped T-Shirt,No Traits,Black / Gray,Wizard's Hat,Eggplant,No Traits
837,150,3409,0,https://solanart.io/nft/8RJouPgcRnSnioxh2Kk2e1QUY73FDBFcxySGiYc1VxTT,Green,Tie-Dye T-Shirt,No Traits,Blue / Peach,Floral Crown,Sandwich,Wooden Tooth
