id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Costume,Eyes,Faction,Forehead Eye,Hand Item,Mouth,Race
9,2.5,2885,50.11,https://magiceden.io/item-details/Br2dggjRfojGcdocptRnoEqEmrMdkAJmyNvMVojoFn4J,None,Hell,Hoodie,Blue,House of Degen,Fatima,Compass,Slightly Smile,Human Dark Skin
18,1.8,2750,58.6,https://magiceden.io/item-details/7SbsXykGvFRVCmNEhc33kyobLogk8pMTJaMWfkgfr7xF,Normal Glasses,Grey,Brown Mage,Devil,Skull & Bones,Fatima,Crucifix,Neutral,Human-Tan-Skin
22,2.2,541,79.02,https://magiceden.io/item-details/9pRcQRVTFoN9fpsKFimBqgTCvrokCzk9iWVN9YY8qTFD,Classic Sunglasses,District Spaceship,Red Cloak,Yellow,Golden Circle,Fatima,Compass,Toothpick,Human Dark Skin
36,2.22,188,82.72,https://magiceden.io/item-details/8hMTNANThV7BJEb2W5TMwzw3VgVXvsddxQk6uXfX4BRu,Classic Sunglasses,Tokyo,Reaper,Demon,Skull & Bones,Water,E Crucifix,Slightly Smile,Human Light Skin
40,2,272,83.99,https://magiceden.io/item-details/7hpZtdGfigoUqxWYDREJ5UTy5fo2d2AzXYf4t9U1jHX5,Pirate Patch,Pyramid,Reaper,Sharingan,House of Degen,Red,Navigator,Toothpick,Human-Tan-Skin
66,10,66,6.27,https://magiceden.io/item-details/Fz6uXj2EAnjeDvoPoFeZHMDknUU1yX4tzRS2rWMRCHpL,Rebel Bandana,Dubai,Tuxedo,Sharingan,Golden Circle,Ra,Grey Skull,Sad,Reptilian Alien
75,0.98,3421,59.39,https://magiceden.io/item-details/AhjVQeRdShh9vGY4uLPTKCaGY3VtRHDFu4cmsYNp7jKk,None,Marrakech,Black Cloak,Blue,Golden Circle,Ra,Navigator,Neutral,Human Light Skin
76,2.76,499,73.88,https://magiceden.io/item-details/G1J4sUW63wRLE4wwtYbGHGjA3XWpyToe1jn38Spgb5ud,None,Blue,Suit,None,Golden Circle,Red,Radar,None,Faceless
100,1.5999,1577,73.57,https://magiceden.io/item-details/HwV7vXabpCauZWzXpKqx2Jd8SBmMPwR3wPvU1W12abkJ,None,Marrakech,Priest,Devil,House of Degen,Sauron,Black Skull,Sad,Elder
112,1.9,1795,68.16,https://magiceden.io/item-details/D2tCHPPV4nsyPsuhznti44XmFTEakXVn4LQxPYqE7Ram,None,Red Brush,Hoodie,Blind,Golden Circle,Green,Grey Skull,Normal,Human Dark Skin
161,2.5,1267,68,https://magiceden.io/item-details/EFoN8XZwdx4Va6R7G1eQf9AHvNHFmPLWc7qv86MXd4jb,Normal Glasses,Red Space,Solana Hoodie,Demon,House of Degen,Fatima,Grey Skull,Normal,Reptilianus
170,1.39,1476,76.79,https://magiceden.io/item-details/4QFpKYGBZ2ruhSXaa7Eo8TwEkT7BSgG2ZJXoeLU3kYDe,None,Blue Brush,Academic,Heavy Makeup,House of Degen,Earthquake,Black Skull,Neutral,Human Light Skin
188,2.2,3056,51.22,https://magiceden.io/item-details/7mokMUffWig1Zu2vzgTZUTREYTs6NTCY59D13Sn1wDvz,None,Hell,Solana Hoodie,Devil,Golden Circle,Sauron,Black Skull,Slightly Smile,Human-Tan-Skin
207,25,1,0,https://magiceden.io/item-details/J86xwzCzbXkWEzSTdHD5XJ1QLUVMr5f2aigM9VXARRHo,Horns,Red Dark,Vampire,Sharingan,House of Degen,Spiral,Staff,Smile,Human-Tan-Skin
211,1.69,525,84.3,https://magiceden.io/item-details/5DzSk5ZbdDMiH2sKiBiZKgRaztChAeqe3ne5PXLZEsWg,None,Red Space,Kimono,Sharingan,Skull & Bones,Spiral,Navigator,Normal,Reptilian Dino
232,1.6333,3046,57,https://magiceden.io/item-details/EARpksJNrUbY4Vp5i71hDGyUY9sRtPfremto7SYAi1Ln,None,Red Brush,Red Cloak,Brown,House of Degen,Ra,Grey Skull,Neutral,Human-Tan-Skin
237,8,67,26.26,https://magiceden.io/item-details/EQtBy6EdLvyqBcfYmVqFz3jyNhBkSi9TFxAaCCF7nqj7,Rebel Bandana,Blue,Pirate,Yellow,Skull & Bones,Earthquake,Grey Skull,Wide Smile,Reptilianus
