id,price,moonRank,💎 score (%),storeURL,BACKGROUND,BODY,EXALTED_STAT,FUR,GLASSES,HEAD,IDEA_CREDIT,MOUTH,❤️
2,18,13449,0,https://solanart.io/nft/G8tEWdT6Tsb7WfzHGmGhXv9ofARxbxBUUqgDC9FUbnyN,Blue,Fairy Wings,,Blue - Grin,No Traits,No Traits,,No Traits,2
98,20,451,0,https://solanart.io/nft/kxb9QXr5kkjf6fwoFdbt9FLQaNDQs4Bmcwk2EDpEg18,Yellow,Bandana,RUGGED_COUNT: 2,Brown - Grin,Trash Vipers,No Traits,,Acid - Grin,6
177,50,1076,0,https://solanart.io/nft/HvckFQhucPU6PtsrXUacXGuWPC6H9PED1zB3wWh2PFPy,Purple,Chav Jacket,,Purple - Smirk,Designer Glasses,The Gambler,,Burnt Spoon - Smirk,6
264,6.67,9805,60.6,https://solanart.io/nft/BxYeAuzB3rFqjt3oq6RqwSFPSVQ692aqtA4EStSZDbie,Black,Bumbag,,Blue - Grin,Designer Glasses,Cardboard Box,,No Traits,1
359,420,203,0,https://solanart.io/nft/BKuuCBnqoKkh7AkKVTeVkmM5JHvbfTZqnhosNT9VMu57,Red,Hoodie,MONOLIFF?: Mono-LEAF!,Scarred Blue - Smirk,Reading Glasses,Ice Cream,,No Traits,1
452,455,10082,0,https://solanart.io/nft/G1g2cof11DR4jrRRP5qmKLsSR9t2V5k9YrC6VLE6qQX9,Purple,Knitted Vest,,Purple - Smirk,Designer Glasses,Pandos,,No Traits,6
463,9.88,12394,21.19,https://solanart.io/nft/4ReTGd6k6PzShfpNsY6jN9upBxCdaUbDFfJPhJRVZrby,Purple,Singlet,,Purple - Smirk,No Traits,Beret,,No Traits,1
512,26,2708,0,https://solanart.io/nft/KfHpQ27AXMe1tdenTD9ZfxHBfsE6XyCccPXt4ZgWinE,Blue,Crayon Farmer,,Scarred Brown - Grin,No Traits,Trucker Cap,,Smashed Bottle - Grin,2
557,20,3677,0,https://solanart.io/nft/4N7LEr4s9tk8VwcHhgcqw7MUaJBSDNNGxvGHhQFdDPRM,Black,Singlet,,Antique - Smirk,Designer Glasses,Plunger,,Rat Tail - Smirk,5
593,25,318,0,https://solanart.io/nft/J5sxMMaop9Sk1L1V8ZmSEcLdo5xZnAtRNUEMthCFBiWS,Yellow,Knitted Vest,WEN: 2 hours,Brown - Grin,No Traits,Takeout,,Smashed Bottle - Grin,3
605,100,4752,0,https://solanart.io/nft/9ap7yUgmRReaoV6psAEZVoQ77JoXFDRVBZMoactfKx7W,Purple,Fairy Wings,,Purple - Grin,No Traits,Pandas Pickles,,Bone - Grin,2
675,16,13251,0,https://solanart.io/nft/GiMhMnFbHNqJciyfiSKWWffaCLor1gMATRzMWPm6GsoA,Black,Open Shirt,,Blue - Smirk,No Traits,Belt,,No Traits,6
751,100,5627,0,https://solanart.io/nft/5sRtRKxZVPQdJEQQkf4krx4cQpvmbADzsWn1fmEhMZVM,Black,Knitted Vest,,Black - Smirk,Reading Glasses,Belt,,Rat Tail - Smirk,1
761,49,124,0,https://solanart.io/nft/GXxeyrwKDHxb8XEqPcvJR8GsaafPVtifqugAsQUJWuS2,Green,Hockey Pads,PSYCHOLOGICAL_TRAUMA_LEVEL: Medium,Green - Smirk,Trash Vipers,Takeout,,Match Stick - Smirk,6
772,29,2356,0,https://solanart.io/nft/5quzaEW13Qaqn7g5BkNiy9TLBJYcCjJhrupTn3rydrSZ,Purple,Denim Vest,,Purple - Grin,No Traits,Pandas Pickles,,Dirty Fiat - Grin,5
797,20,3823,0,https://solanart.io/nft/GBjqTA3bu1pUGMC9Ag8brprPWwUmFVmtQVQzw9b92G2v,Blue,Fairy Wings,,Blue - Grin,No Traits,Paper Bag,,Bone - Grin,6
830,49,655,0,https://solanart.io/nft/J1eyXkLJJgUujN9HapK4BFhRavHsSy9rDrUao8e8giZA,Yellow,Leather Jacket,PSYCHOLOGICAL_TRAUMA_LEVEL: Medium,Brown - Smirk,No Traits,Degen Service Hat,,Rat Tail - Smirk,6
842,35,13343,0,https://solanart.io/nft/BUMvYXGg9sDuC5QE6jMKfL13zXeyE53rHpWcm8B4QHfS,Black,Dress Shirt,,Scarred Black - Smirk,No Traits,Trash Lid,,No Traits,6
846,333,4254,0,https://solanart.io/nft/C54GAJ221KyBx1MBMTzJQCF8k4MGXvGk9rV19iiAgUK7,Black,No Traits,,Antique - Smirk,No Traits,Paper Bag,,War Medal - Smirk,6
896,49,1147,0,https://solanart.io/nft/CWPSpprmPW8sG4K9nHo6necVgceMr16K92ESnpbUaMf2,Green,Engineer,EXILED: Just kidding.,Green - Smirk,No Traits,Cardboard Box,,No Traits,6
934,20,5663,0,https://solanart.io/nft/J6VoboaZH98ojLkL5x8SJnqRJwzEgagrFnY64bQazLg6,Blue,Fishing Vest,,Blue - Grin,No Traits,Colander,,Bone - Grin,5
1066,11.95,4770,22.03,https://solanart.io/nft/3qXRKoYJecaf9aRSPcnCaCvUoxUGv7vYZs3cAsAY6PWN,Purple,Dress Shirt,,Scarred Purple - Grin,Trash Vipers,No Traits,,Bone - Grin,1
1078,100,13259,0,https://solanart.io/nft/AgxwrTt5dyfgPtPcKEPBn8oYuFiq9yeeBbGLvF4F8XGu,Blue,No Traits,,Blue - Smirk,Reading Glasses,Trash Lid,,No Traits,6
1100,15,9023,0,https://solanart.io/nft/6jiibT2PtKTafKa96fTFxMzgeYQASpjpyev3PvsTqfX2,Purple,Toga,,Scarred Purple - Grin,No Traits,Pot,,No Traits,1
1149,15.77,1964,0,https://solanart.io/nft/BmJ4FJEC3Pba7zy8c7Dxp8ysUdN4KpNSmirj1rpAGDrM,Green,No Traits,RUGGED_COUNT: 2,Green - Smirk,No Traits,Lampshade,,Cigarette - Smirk,6
1235,30,10860,0,https://solanart.io/nft/CAYNTxo7kpY3LMMEHmFLLWCuUR9QfTBSMVjEFNPAwsQ2,Black,Dress Shirt,,Black - Smirk,No Traits,Tamberine,,Match Stick - Smirk,6
1256,30,285,0,https://solanart.io/nft/EzKjEr2RppfT3EXdvVENCk71DtgDn2Re3BGQyeUJTZ8p,Red,Turtle Neck,TELL_ME_A_JOKE: Mint Date,Scarred Red - Smirk,Trash Vipers,No Traits,,Match Stick - Smirk,1
1271,46,102,0,https://solanart.io/nft/2WUG7imrn2i1oeexs2mmwFkBaRNkwhsY8aCGnqW26wvq,Yellow,Rain Jacket,RUGGED_COUNT: 2,Brown - Grin,Trash Vipers,Boot,,Lollipop - Grin,2
1319,7.45,13074,41.27,https://magiceden.io/item-details/GpE1Th4aFQRt2pAS2dtNC2AEZ8NExu6AiWVoFVARjigf,Blue,Turtle Neck,,Blue - Grin,No Traits,Pot,,No Traits,1
1351,13,13576,0,https://solanart.io/nft/5iin8UqiPmXbMtr6wFVBZDFTjNNLdPNV8PEi8FzxVLun,Purple,No Traits,,Scarred Purple - Smirk,No Traits,Pandas Pickles,,No Traits,1
1371,75,1219,0,https://solanart.io/nft/H1RMC74uqS8UmsXvAVTm7Xqknh51XQeEnhMJi6nCC7kC,Yellow,No Traits,PSYCHOLOGICAL_TRAUMA_LEVEL: Medium,Scarred Brown - Smirk,No Traits,Lampshade,,Burnt Spoon - Smirk,1
